event_id,category,city,country,audience_size,ticket_price_usd,duration_days,venue_type,sponsors_count,speakers_count,attendance
1,AI,Bangalore,India,3000,50,2,convention_center,12,20,2700
2,AI,Delhi,India,2500,40,2,expo_center,10,18,2200
3,AI,Mumbai,India,4000,80,3,convention_center,15,25,3500
4,Web3,Bangalore,India,2000,60,2,hotel,8,15,1600
5,ML,Hyderabad,India,1800,45,2,university,6,12,1400
6,AI,Chennai,India,2200,50,2,convention_center,9,16,1900
7,Startup,Delhi,India,1500,30,1,coworking,5,10,1200
8,FinTech,Mumbai,India,3000,90,2,hotel,14,20,2600
9,AI,Pune,India,1200,35,1,university,4,8,900
10,AI,Bangalore,India,3500,70,2,convention_center,13,22,3100
11,AI,Delhi,India,2800,60,2,expo_center,11,18,2400
12,AI,Mumbai,India,4200,100,3,convention_center,18,28,3800
13,ML,Bangalore,India,2000,55,2,university,7,14,1700
14,Startup,Hyderabad,India,1700,40,1,coworking,6,9,1400
15,AI,Chennai,India,2600,65,2,convention_center,10,17,2300
16,AI,Delhi,India,3200,75,2,expo_center,12,21,2800
17,AI,Mumbai,India,3800,85,3,hotel,16,26,3400
18,ML,Pune,India,1400,40,1,university,5,10,1100
19,Web3,Bangalore,India,2100,55,2,hotel,7,13,1800
20,AI,Hyderabad,India,3000,70,2,convention_center,12,19,2600
21,AI,Delhi,India,2600,55,2,expo_center,9,15,2200
22,AI,Mumbai,India,4100,95,3,convention_center,17,27,3700
23,AI,Bangalore,India,3300,65,2,convention_center,14,23,3000
24,ML,Chennai,India,1600,45,1,university,6,11,1300
25,Startup,Delhi,India,1800,35,1,coworking,5,9,1500
26,AI,Pune,India,1500,40,1,university,5,12,1200
27,AI,Bangalore,India,3700,80,2,convention_center,15,24,3300
28,AI,Delhi,India,2900,60,2,expo_center,11,19,2500
29,AI,Mumbai,India,4300,105,3,hotel,18,29,3900
30,ML,Hyderabad,India,1700,50,2,university,7,13,1500
31,AI,Chennai,India,2400,55,2,convention_center,9,16,2100
32,Startup,Bangalore,India,1400,30,1,coworking,4,8,1100
33,AI,Delhi,India,3100,70,2,expo_center,12,20,2800
34,AI,Mumbai,India,3900,90,3,convention_center,16,26,3500
35,ML,Pune,India,1300,35,1,university,5,9,1000
36,AI,Bangalore,India,3600,75,2,convention_center,14,23,3200
37,AI,Delhi,India,2700,55,2,expo_center,10,17,2300
38,AI,Mumbai,India,4500,110,3,hotel,19,30,4000
39,Web3,Hyderabad,India,2200,60,2,hotel,8,14,1800
40,AI,Chennai,India,2500,60,2,convention_center,11,18,2200
41,AI,Bangalore,India,3400,70,2,convention_center,13,21,3000
42,AI,Delhi,India,3000,65,2,expo_center,12,20,2600
43,AI,Mumbai,India,4200,95,3,hotel,17,28,3700
44,ML,Pune,India,1500,45,1,university,6,10,1200
45,Startup,Delhi,India,1600,35,1,coworking,5,9,1300
46,AI,Bangalore,India,3800,85,2,convention_center,15,24,3400
47,AI,Hyderabad,India,2800,60,2,convention_center,11,18,2400
48,AI,Chennai,India,2600,55,2,convention_center,10,17,2300
49,AI,Delhi,India,3200,70,2,expo_center,13,21,2900
50,AI,Mumbai,India,4400,105,3,hotel,18,29,3900
